  RShift,    0,  838
       A,    0,  113
       P,  307,   75
       O,  202,   72
       L,  295,   72
       L,  157,   69
       O,  448,  118
   Space,  448,  596
       1,  731,   77
       1,  155,   52
   Space,  155,  255
       W,  553,   75
       A,  124,   72
       S,  133,  117
   Space,  133,  608
       T,  211,   92
       H,  378,   95
       E,  180,  107
   Space,  180,  380
       S,  761,  121
       P,  369,  104
       A,  302,  103
       C,  421,  107
       E,  333,  108
       F,  420,  113
       L,  692,  115
       I,  343,   89
       G,  476,   82
       H,  287,   77
       T,  316,  108
   Space,  316,  566
       T,  944,   72
       H,  373,   81
       A,  207,  121
       T,  166,  103
   Space,  166,  528
       L,  407,  111
       A,  220,  114
       N,  173,   90
       D,  287,  104
       E,  335,   90
       D,  925,  104
   Space,  925,  596
       T,  898,  127
       H,  305,   88
       E,  142,   99
   Space,  142,  265
       F,  591,   89
       I,  233,   95
       R,  254,   90
       S,  618,  101
       T,  228,  109
   Space,  228,  622
       T,  827,   90
       W,  240,   93
       O,  386,   87
   Space,  386,  328
       P,  645,   89
       E,  259,   97
       O,  199,   90
       P,  259,   95
       L,  272,   79
       E,  167,  104
   Space,  167,  296
       O,  809,   88
       N,  327,   67
   Space,  327,  287
       T,  587,  103
       H,  313,  108
       E,  222,  113
   Space,  222,  476
  RShift,  575,  374
       M,  675,   98
       O,  365,  105
       O,  227,   85
       N,  319,   72
   Space,  319,  349
  RShift,   34,  310
       A,   38,  132
       R,  431,  135
       M,  460,  113
       S,  263,  119
       T,  422,  103
       R,  272,   71
       O,  134,   90
       N,  308,   86
       G,  298,   87
   Space,  298,  917
       B,  347,  116
       E,  637,  121
       C,  427,   96
       A,  323,  126
       M,  330,  106
       E,  189,  117
   Space,  189,  210
       T,  666,   91
       H,  300,  103
       E,  144,  103
   Space,  144,  272
       F,  787,   89
       I,  137,   86
       R,  422,   72
       S,  160,   77
       T,  142,   86
   Space,  142,  232
       P,   60,   95
       E,  173,   85
       R,  269,  113
       S,  491,  117
       O,  132,   81
       N,  301,   72
   Space,  301,   67
       T,  643,  108
       O,  167,   97
   Space,  167,  411
       S,  503,   94
       T,  229,   81
       E,  166,   90
       P,  570,   65
   Space,  570,  406
       O,  691,   72
       N,  342,   68
       T,  262,  103
       O,  220,  114
   Space,  220,  456
       T,  829,  105
       H,  306,   88
       E,  145,   70
   Space,  145,  248
       L,  718,   53
       U,  352,   46
       N,  447,   76
       A,  198,   85
       R,  176,   97
   Space,  176,  464
       S,  173,  122
       U,  135,   90
       R,  324,   94
       F,  338,   81
       A,  185,   86
       C,  154,  103
       E,  225,  100
   Space,  225,  243
       S,  882,  114
       I,  161,  112
       X,  247,   98
   Space,  247,  477
       H,   74,   99
       O,  440,   85
       U,  365,   70
       R,  407,   62
       S,  201,   88
   Space,  201,  275
       A,  860,  116
       F,  324,  103
       T,  277,   82
       E,  130,   95
       R,  152,   70
   Space,  152,  114
       L,  152,  108
       A,  756,  113
       N,   22,  103
       D,  199,  117
       I,  301,  100
       N,  318,   77
       G,  253,   62
   Space,  253,  980
       O,  553,  101
       N,  303,   77
   Space,  303,  274
  RShift,  828,  377
       J,  965,  100
       U,  466,   98
       L,  310,  104
       Y,  399,  114
   Space,  399,  735
       2,   98,  107
       1,  693,  105
   Space,  693,  447
  RShift,  160,  430
       A,  259,  103
       L,  109,  134
       D,  397,  108
       R,  378,   93
       I,  238,   92
       N,  334,  100
   Space,  334,    6
       J,  377,  125
       O,  425,  103
       I,  414,   70
       N,  376,  148
       E,  402,  132
       D,  401,  126
   Space,  401,  624
       H,   18,  113
       I,  405,  108
       M,  401,  105
   Space,  401,  904
       2,  325,  125
       0,  311,  130
   Space,  311,  887
       M,  353,   93
       I,  293,  101
       N,  331,   80
       U,  342,   91
       T,  433,   99
       E,  303,   96
       S,  381,  114
   Space,  381,  342
       L,  729,   82
       A,  217,  113
       T,  235,   93
       E,  135,   85
       R,  143,   69
