  LShift,    0,  225
       A,    0,  429
       P,    5,   73
       O,  174,   53
       L,  178,   62
       L,  144,   47
       O,  189,   49
   Space,  189,  917
       1,  254,   54
       1,  168,   51
   Space,  168,  772
       W,  964,   69
       A,  175,   85
       S,  161,   67
   Space,  161,  430
       T,   74,   53
       H,  982,   59
       E,  329,   59
   Space,  329,  430
       S,  848,   73
       P,  184,   62
       A,  262,   62
       C,  236,   62
       E,  198,   53
       F,   88,   63
       L,  837,   81
       I,  226,   57
       G,  364,   50
       H,  436,   50
       T,  595,   67
   Space,  595,  358
       T,  843,   44
       H,  760,   59
       A,  158,   64
       T,  358,   63
   Space,  358,  549
       L,  778,   67
       A,  204,   49
       N,  370,   55
       D,  322,   72
       E,  177,   51
       D,  473,   54
   Space,  473,  830
       T,   96,   54
       H,  553,   59
       E,  417,   69
   Space,  417,  788
       F,  494,   51
       I,  228,   53
       R,  306,   49
       S,  329,   55
       T,  300,   59
   Space,  300,  402
       T,  692,   45
       W,  239,   59
       O,  338,   53
   Space,  338,  363
       P,  648,   54
       E,  784,   46
       O,  201,   58
       P,  156,   62
       L,  178,   70
       E,  463,   37
   Space,  463,  155
       O,  312,   59
       N,  277,   51
   Space,  277,  226
       T,  823,   49
       H,  991,   52
       E,  407,   41
   Space,  407,  137
  LShift,   36,   45
       M,  700,   53
       O,  830,   68
       O,  168,   60
       N,  158,   70
   Space,  158,  335
  LShift,  934,   55
       A,  155,   54
       R,  562,   49
       M,  408,   64
       S,  969,   47
       T,  338,   46
       R,  155,   56
       O,  252,   59
       N,  500,   62
       G,  791,   62
   Space,  791,  678
       B,  887,   72
       E,  462,   46
       C,  200,   54
       A,  194,   57
       M,  287,   55
       E,  267,   51
   Space,  267,  117
       T,  259,   54
       H,  768,   54
       E,  354,   41
   Space,  354,  730
       F,  950,   62
       I,  303,   69
       R,  338,   54
       S,  298,   49
       T,  259,   49
   Space,  259,  422
       P,  623,   63
       E,  327,   55
       R,  163,   55
       S,  269,   63
       O,  266,   59
       N,  484,   67
   Space,  484,  430
       T,  830,   45
       O,  197,   62
   Space,  197,  410
       S,  918,   62
       T,  285,   56
       E,  217,   67
       P,  129,   58
   Space,  129,  456
       O,   96,   52
       N,  789,   72
       T,  659,   48
       O,  232,   62
   Space,  232,  695
       T,   43,   64
       H,   21,   62
       E,  591,   54
   Space,  591,  290
       L,  780,   67
       U,  352,   56
       N,  383,   54
       A,  180,   66
       R,  401,   64
   Space,  401,  279
       S,  655,   46
       U,  401,   58
       R,  321,   56
       F,  270,   53
       A,  934,   51
       C,  372,   72
       E,  213,   59
   Space,  213,  959
       S,  293,   40
       I,  277,   58
       X,  385,   70
   Space,  385,  773
       H,   76,   64
       O,  218,   62
       U,  550,   58
       R,  829,   52
       S,  916,   54
   Space,  916,  397
       A,   87,   44
       F,  492,   54
       T,  266,   39
       E,  215,   69
       R,  199,   57
   Space,  199,  442
       L,  659,   64
       A,  191,   62
       N,  340,   49
       D,  295,   54
       I,  347,   53
       N,  376,   57
       G,  929,   77
   Space,  929,  495
       O,  708,   66
       N,  337,   54
   Space,  337,  276
  LShift,  515,   71
       J,   33,   62
       U,  352,   58
       L,  289,   71
       Y,  592,   52
   Space,  592,  878
       2,  129,   61
       1,  188,   59
   Space,  188,  841
  LShift,  527,   43
       A,  370,   54
       L,  705,   62
       D,  311,   61
       R,  558,   53
       I,  238,   54
       N,  407,   56
   Space,  407,  912
       J,  394,   64
       O,  308,   88
       I,  316,   68
       N,  122,   60
       E,  252,   59
       D,  896,   52
   Space,  896,  468
       H,  815,   73
       I,  321,   47
       M,  466,   62
   Space,  466,   20
       2,  403,   54
       0,  402,   57
   Space,  402,  249
       M,  174,   71
       I,  225,   48
       N,  233,   67
       U,  228,   56
       T,  435,   49
       E,  183,   69
       S,  299,   69
   Space,  299,  756
       L,  144,   64
       A,  214,   64
       T,  493,   56
       E,  193,   86
       R,  166,   55
