  LShift,    0,  463
       A,  395,   95
       P,  184,   83
       O,  184,  131
       L,  261,   64
       L,  129,   70
       O,  155,   71
   Space,  150,   22
       1,  150,   70
       1,  145,   91
   Space,  145,  186
       W,  199,   92
       A,  196,   20
       S,  196,   75
   Space,  146,   19
       T,  146,  114
       H,  128,   81
       E,  128,  161
   Space,  128,  225
       S,  280,   71
       P,  105,   21
       A,   96,   15
       C,   94,   15
       E,   94,   97
       F,  109,  121
       L,  109,  165
       I,  250,   61
       G,  250,  116
       H,  191,   74
       T,  165,   84
   Space,  165,  210
       T,  290,   86
       H,  100,   71
       A,  104,   51
       T,  104,  106
   Space,  171,   20
       L,   54,   22
       A,   54,  116
       N,  130,   86
       D,  142,   19
       E,  142,   58
       D,  149,   91
   Space,  149,  169
       T,  184,  112
       H,  184,  176
       E,  190,   82
   Space,  167,   18
       F,  167,   93
       I,  109,   95
       R,  159,   21
       S,  100,   21
       T,  100,  116
   Space,  100,  190
       T,  205,  106
       W,  130,   41
       O,  130,   75
   Space,  130,  181
       P,  246,   64
       E,  124,   76
       O,  124,  115
       P,  227,  104
       L,  227,  163
       E,  208,  106
   Space,  208,  192
       O,  220,   85
       N,  220,  181
   Space,  220,  220
       T,  340,  101
       H,  340,  151
       E,  164,   92
   Space,  164,  151
  LShift,  478,  100
       M,  195,   91
       O,  165,   75
       O,  145,   70
       N,  120,  106
   Space,  120,  217
  LShift,  654,  155
       A,  271,   60
       R,  115,  121
       M,  190,   21
       S,   67,   33
       T,   72,   41
       R,   72,   80
       O,   96,   79
       N,  131,   29
       G,  131,  119
   Space,  131,  193
       B,  354,   65
       E,  134,   75
       C,  120,  110
       A,  120,  150
       M,  169,  100
       E,  169,  196
   Space,  169,  261
       T,  441,   85
       H,   99,   66
       E,   99,  146
   Space,  185,   21
       F,  185,   76
       I,   90,   60
       R,   74,   97
       S,  175,   22
       T,  175,  107
   Space,  165,   21
       P,  165,   80
       E,   94,   99
       R,   94,  140
       S,  175,  106
       O,  121,   54
       N,   68,  100
   Space,  175,   27
       T,   86,   30
       O,   86,   80
   Space,   86,  155
       S,  171,   83
       T,  100,  105
       E,  163,   21
       P,  163,   90
   Space,  163,  231
       O,  325,  100
       N,  130,   20
       T,  130,  111
       O,  124,   76
   Space,  151,   21
       T,  107,   20
       H,  107,   78
       E,   93,  116
   Space,   93,  140
       L,  154,   45
       U,  146,   75
       N,  134,   20
       A,   49,   51
       R,   49,  131
   Space,   49,  205
       S,  461,   86
       U,  129,   21
       R,  129,   75
       F,  185,   97
       A,  185,  147
       C,  200,  111
       E,  200,  191
   Space,  200,  226
       S,  420,   91
       I,  105,   65
       X,  100,   80
   Space,  100,  150
       H,  224,  106
       O,  224,  145
       U,  241,   76
       R,   89,  101
       S,   89,  136
   Space,   89,  205
       A,  252,   93
       F,  108,   75
       T,  164,   81
       E,   95,  116
       R,   95,  206
   Space,   95,  225
       L,  260,   81
       A,   95,   85
       N,  100,   76
       D,   92,   84
       I,  100,  114
       N,  100,  174
       G,  175,  108
   Space,  175,  225
       O,  333,   95
       N,  333,  175
   Space,  333,  295
  LShift,  868,  128
       J,  675,   65
       U,  146,   71
       L,  174,   72
       Y,   84,   51
   Space,   84,  146
       2,  202,  130
       1,  202,  155
   Space,  202,  243
  LShift,  990,  226
       A,  393,   71
       L,  176,  100
       D,  180,   49
       R,  139,   60
       I,  100,   96
       N,  100,  151
   Space,  100,  250
       J,  532,   85
       O,   99,   65
       I,  145,  106
       E,  120,   39
       N,  120,   59
       D,  127,   93
   Space,  127,  173
       H,  337,   86
       I,  125,   31
       M,  125,  101
   Space,  125,  176
       2,  435,   76
       0,   90,   60
   Space,   90,  205
       M,  233,   84
       I,  233,  137
       N,  193,   75
       U,  114,   21
       T,   70,   36
       E,   70,   60
       S,  101,  125
   Space,  101,  178
       L,  209,   81
       A,  209,  120
       T,  135,   91
       E,  105,  101
       R,  105,  149
