  LShift,    0,  397
       A,    0,   67
       P,  184,   75
       O,  205,   72
       L,  707,   41
       L,  150,   65
       O,  329,   85
   Space,  329,    4
       1,  592,   89
       1,  191,  103
   Space,  191,  675
       W,  500,   86
       A,  457,  126
       S,  478,  129
   Space,  478,  493
       T,  441,   63
       H,   51,  138
       E,  297,  111
   Space,  297,  621
       S,  136,  113
       P,  234,   77
       A,  141,   86
       C,  830,  113
       E,  171,  118
       F,  164,   82
       L,  500,  114
       I,   90,   73
       G,  346,   80
       H,  262,   89
       T,   84,   78
   Space,   84,  907
       T,  478,   62
       H,  995,  132
       A,  271,  113
       T,  505,  103
   Space,  505,  148
       L,  534,  148
       A,  231,   90
       N,  274,   93
       D,  301,   95
       E,  244,   98
       D,  785,  132
   Space,  785,  642
       T,   47,   68
       H,  669,  135
       E,  336,  121
   Space,  336,  607
       F,  523,   77
       I,  218,   62
       R,  253,   68
       S,  341,   88
       T,  687,  127
   Space,  687,  319
       T,  621,   57
       W,  257,   90
       O,  783,   93
   Space,  783,  432
       P,  879,  149
       E,  277,   59
       O,  273,   72
       P,  295,   72
       L,  709,  153
       E,  188,   95
   Space,  188,  467
       O,  844,  110
       N,  833,   80
   Space,  833,  298
       T,  737,   62
       H,  745,  125
       E,  682,  117
   Space,  682,  551
  LShift,  553,  204
       M,   39,   74
       O,  363,   62
       O,  145,   92
       N,  840,  110
   Space,  840,  366
  LShift,  189,  252
       A,  862,   52
       R,  468,   61
       M,   15,   85
       S,  477,  114
       T,  445,   85
       R,  391,  150
       O,  638,   75
       N,  395,   96
       G,  258,   78
   Space,  258,  358
       B,  436,  111
       E,  168,   77
       C,  769,   57
       A,  148,  100
       M,  516,  118
       E,  129,   72
   Space,  129,  830
       T,  480,   49
       H,  384,  108
       E,  416,   80
   Space,  416,  357
       F,  904,   77
       I,  202,   69
       R,  258,   62
       S,  367,   86
       T,  329,   85
   Space,  329,  597
       P,  293,  120
       E,  361,  119
       R,  661,   72
       S,  384,   76
       O,  247,   53
       N,  513,  135
   Space,  513,  872
       T,  940,   94
       O,  580,   87
   Space,  580,  510
       S,  219,   91
       T,  392,   78
       E,  380,   68
       P,  190,   94
   Space,  190,  769
       O,  208,  104
       N,  326,  140
       T,  300,   94
       O,  366,  143
   Space,  366,  989
       T,  431,   68
       H,  290,  156
       E,  255,  108
   Space,  255,  374
       L,  327,   81
       U,  317,   64
       N,  323,  115
       A,  185,   87
       R,  480,  104
   Space,  480,  696
       S,  630,   96
       U,  187,   74
       R,  324,   72
       F,  181,   62
       A,  114,   72
       C,  179,  224
       E,  501,   80
   Space,  501,  399
       S,  796,   98
       I,  242,   80
       X,  703,   86
   Space,  703,  482
       H,  634,   64
       O,  659,   57
       U,  169,   85
       R,  914,   77
       S,  193,   63
   Space,  193,  374
       A,  818,   77
       F,  293,   59
       T,  729,   77
       E,  144,   68
       R,  437,   77
   Space,  437,  799
       L,  467,  113
       A,  145,   72
       N,  256,   76
       D,  766,   83
       I,  187,  109
       N,  361,   91
       G,  480,  145
   Space,  480,  646
       O,  147,   77
       N,  249,   69
   Space,  249,  262
  LShift,  337,  191
       J,  870,   77
       U,  233,   44
       L,  280,   52
       Y,  873,   92
   Space,  873,  460
       2,  965,   75
       1,  280,  107
   Space,  280,  533
  LShift,  603,  262
       A,   48,   54
       L,  444,   76
       D,  342,   49
       R,  319,   95
       I,  259,   67
       N,  677,   91
   Space,  677,  319
       J,  818,   81
       O,  405,  104
       I,  846,   57
       N,  293,  123
       E,  235,   97
       D,  305,  125
   Space,  305,  685
       H,  512,   59
       I,  282,   64
       M,  781,  127
   Space,  781,  384
       2,  905,  111
       0,  338,   98
   Space,  338,  510
       M,  108,   90
       I,  256,   80
       N,  242,   87
       U,  274,   75
       T,  348,   72
       E,  382,   75
       S,  438,   99
   Space,  438,  352
       L,  769,   62
       A,  143,   98
       T,  264,   73
       E,  148,  108
       R,  454,   78
