  LShift,    0,   49
       A,    0,   79
       P,  289,  137
       O,  289,  207
       L,  329,   74
       L,  137,   79
       O,  168,   97
   Space,  168,  238
       1,  432,   72
       1,  135,   93
   Space,  135,  297
       W,  355,  149
       A,  243,   72
       S,  243,  169
   Space,  243,  298
       T,  439,  110
       H,  196,  157
       E,  196,  298
   Space,  196,  380
       S,  544,  119
       P,  288,  121
       A,  186,  104
       C,  214,  100
       E,  259,  127
       F,  311,  119
       L,  163,   93
       I,  219,  125
       G,  182,   93
       H,  117,  123
       T,  234,  116
   Space,  234,  427
       T,   52,  141
       H,  144,  124
       A,  144,  166
       T,  291,  150
   Space,  291,  285
       L,  464,  127
       A,  140,  108
       N,  201,  106
       D,  145,  138
       E,  327,  184
       D,  443,  126
   Space,  443,  228
       T,  413,  102
       H,  149,   80
       E,  148,  149
   Space,  148,  243
       F,  398,  153
       I,  405,  119
       R,  140,  139
       S,  140,  209
       T,  321,  125
   Space,  321,  274
       T,   27,  131
       W,   27,  189
       O,  313,   96
   Space,  313,  293
       P,  540,   77
       E,  143,  121
       O,  190,   71
       P,  241,  162
       L,  241,  267
       E,  377,  137
   Space,  377,  417
       O,  545,  238
       N,  545,  357
   Space,  545,  446
       T,  559,   90
       H,  119,  145
       E,  167,  153
   Space,  167,  217
  LShift,  143,  301
       M,  457,  159
       O,  256,   88
       O,  148,  113
       N,  269,  119
   Space,  269,  386
  LShift,  665,  290
       A,    5,   98
       R,  497,  131
       M,  439,  149
       S,  345,   87
       T,  333,  137
       R,  333,  189
       O,  218,  130
       N,  166,  126
       G,  215,  115
   Space,  215,  433
       B,   22,  117
       E,  145,  111
       C,  365,  144
       A,  365,  183
       M,  316,  114
       E,  266,  121
   Space,  266,  734
       T,  996,  107
       H,  785,  121
       E,  383,  124
   Space,  383,  306
       F,  425,  145
       I,  183,   82
       R,  168,  203
       S,  168,  234
       T,  716,  166
   Space,  716,  310
       P,   65,   78
       E,  173,  146
       R,  173,  277
       S,  371,  119
       O,  126,  182
       N,  272,  132
   Space,  272,  236
       T,  360,  146
       O,  360,  251
   Space,  360,  399
       S,  133,  133
       T,  247,  127
       E,  247,  150
       P,  295,  107
   Space,  295,  315
       O,  680,  226
       N,  680,  350
       T,  356,   86
       O,  148,  119
   Space,  148,  396
       T,  906,   86
       H,  190,  111
       E,  166,  153
   Space,  166,  305
       L,  798,  135
       U,  341,  111
       N,  205,  132
       A,  156,  100
       R,  235,  109
   Space,  235,  848
       S,  121,  117
       U,  362,   81
       R,  138,  100
       F,  266,  157
       A,  266,  210
       C,  327,  168
       E,  417,   98
   Space,  417,  819
       S,   81,  123
       I,  524,  130
       X,  242,  155
   Space,  242,  344
       H,  492,  100
       O,  150,  191
       U,  207,  107
       R,  209,  155
       S,  209,  262
   Space,  209,  671
       A,  784,  130
       F,  228,   91
       T,  279,  146
       E,  279,  218
       R,  338,  122
   Space,  338,  303
       L,  519,  140
       A,  519,  243
       N,  386,  129
       D,  402,  135
       I,  162,  172
       N,  188,  127
       G,  262,   79
   Space,  262,  224
       O,  447,  120
       N,  203,  108
   Space,  203,  238
  LShift,  460,  278
       J,  464,   90
       U,  298,   85
       L,  358,   79
       Y,  160,  116
   Space,  160,  477
       2,  884,  154
       1,  884,  205
   Space,  884,  506
  LShift,  560,  565
       A,  176,   89
       L,  363,  127
       D,  651,  113
       R,  206,  110
       I,  205,  135
       N,  259,  122
   Space,  259,  400
       J,  598,  248
       O,  598,  270
       I,  423,  105
       N,  259,  121
       E,  407,  147
       D,  271,  168
   Space,  271,  298
       H,  464,   99
       I,  207,  104
       M,  195,  152
   Space,  195,  371
       2,  510,   99
       0,  332,  109
   Space,  332,  348
       M,  549,  219
       I,  549,  304
       N,  654,  168
       U,  199,  125
       T,  238,  164
       E,  238,  244
       S,  410,  147
   Space,  410,  304
       L,  553,   82
       A,  108,   99
       T,  200,  121
       E,  215,   23
       R,  215,   82
