  LShift,    0,  938
       A,  869,   91
       P,  630,   78
       O,  252,   59
       L,  246,   63
       L,  231,   59
       O,  252,   80
   Space,  252,  719
       1,  262,  104
       1,  277,   52
   Space,  277,  530
       W,  153,  104
       A,  172,   72
       S,  186,   98
   Space,  186,  627
       T,  828,   62
       H,  430,   62
       E,  537,   88
   Space,  537,   26
       S,  986,   72
       P,  425,   75
       A,  650,  121
       C,  848,   86
       E,  360,   88
       F,   14,   31
       L,  625,   78
       I,  259,   95
       G,  191,   82
       H,  456,  102
       T,  936,  145
   Space,  936,  862
       T,  763,   83
       H,   57,  167
       A,  260,  103
       T,  280,   80
   Space,  280,  218
       L,  786,   98
       A,  197,  150
       N,  981,   60
       D,  423,  140
       E,  760,   81
       D,  373,  127
   Space,  373,  974
       T,  578,   80
       H,  753,   66
       E,  668,   77
   Space,  668,  438
       F,  460,  103
       I,  540,   56
       R,  446,   95
       S,  136,   81
       T,  343,   64
   Space,  343,  640
       T,  951,   77
       W,  173,   86
       O,  270,   87
   Space,  270,  716
       P,  716,   72
       E,  513,   78
       O,  301,   72
       P,  221,   69
       L,  503,   72
       E,  401,  121
   Space,  401,   85
       O,  968,   62
       N,  517,   88
   Space,  517,  641
       T,   51,   70
       H,  269,   81
       E,  672,   93
   Space,  672,  132
       M,  783,   67
  LShift,   73,  242
       O,  822,   64
       O,  366,   67
       N,  958,  111
   Space,  958,  576
  LShift,  559,  394
       A,  541,   72
       R,  939,   72
       M,  586,   76
       S,  616,   86
       T,  333,   64
       R,  135,   77
       O,  568,   55
       N,  369,   59
       G,  502,  113
   Space,  502,   74
       B,  852,  107
       E,  618,   82
       C,  697,   85
       A,  338,   51
       M,  497,   44
       E,  280,   95
   Space,  280,  999
       T,  466,   77
       H,  306,   78
       E,  508,   95
   Space,  508,  895
       F,  266,   96
       I,  452,   75
       R,  668,   81
       S,  319,   84
       T,  315,   72
   Space,  315,  207
       P,   41,   54
       E,  402,   85
       R,  262,   65
       S,  578,   62
       O,  342,   58
       N,  353,   55
   Space,  353,  163
       T,  673,   75
       O,  535,   65
   Space,  535,  643
       S,  552,   91
       T,  213,   77
       E,  316,   93
       P,  708,   69
   Space,  708,  720
       O,  447,   59
       N,  487,   58
       T,  814,   68
       O,  485,   85
   Space,  485,  635
       T,  513,   56
       H,  230,   82
       E,  199,   77
   Space,  199,  532
       L,  692,   57
       U,  300,   57
       N,  712,   63
       A,  227,   72
       R,  467,   75
   Space,  467,  757
       S,  176,  122
       U,  503,   67
       R,  461,   67
       F,  616,   43
       A,  208,  106
       C,  408,   80
       E,  566,   75
   Space,  566,  305
       S,  325,  103
       I,  207,   62
       X,  720,   90
   Space,  720,  160
       H,  992,   52
       O,  546,   59
       U,  287,   55
       R,  609,  100
       S,  774,  121
   Space,  774,  263
       A,  304,  103
       F,  505,   77
       T,  571,   77
       E,  376,  105
       R,  600,  117
   Space,  600,  729
       L,  710,   60
       A,  280,   99
       N,  632,   63
       D,  667,  126
       I,  391,   64
       N,  373,   54
       G,  922,   92
   Space,  922,  698
       O,  256,   69
       N,  469,   69
   Space,  469,  618
  LShift,  267,  760
       J,    1,   72
       U,  912,   55
       L,  516,   57
       Y,  791,   68
   Space,  791,   93
       2,  556,  117
       1,  285,   80
   Space,  285,  644
  LShift,  495,  568
       A,  173,   80
       L,  956,   52
       D,  175,  101
       R,   60,  145
       I,  739,   76
       N,  367,  108
   Space,  367,  847
       J,   14,   67
       O,  516,   81
       I,  594,   82
       N,  627,  125
       E,  150,   99
       D,  374,   82
   Space,  374,  505
       H,  133,   79
       I,  537,   62
       M,  563,   69
   Space,  563,  656
       2,  143,  113
       0,  444,   62
   Space,  444,  760
       M,  647,   67
       I,  396,   72
       N,  411,   53
       U,  412,   84
       T,  814,   62
       E,  664,   72
       S,  719,  105
   Space,  719,  421
       L,  958,   78
       A,  485,   79
       T,  737,   67
       E,  235,  124
       R,  451,   68
