  LShift,    0,  441
       A,  354,   91
       P,  603,   90
       O,  235,   77
       L,  272,   78
       L,  465,   54
       O,  217,   75
   Space,  217,  717
       1,  517,   82
       1,  282,   86
   Space,  282,  434
       W,  921,   75
       A,  251,   60
       S,  218,   71
   Space,  218,  496
       T,  740,   85
       H,  419,   62
       E,  321,  125
   Space,  321,  816
       S,  546,   67
       P,  568,   59
       A,  197,  122
       C,  483,   70
       E,  469,  140
       F,  145,  130
       L,  781,   93
       I,  382,   53
       G,  479,   62
       H,  326,   67
       T,  561,   90
   Space,  561,  838
       T,  352,   70
       H,  270,   66
       A,  531,  109
       T,  373,   75
   Space,  373,  691
       L,  588,   72
       A,  514,   70
       N,  713,   77
       D,  786,   78
       E,  236,   93
       D,  324,   91
   Space,  324,   38
       T,  451,   62
       H,  244,   80
       E,  422,  122
   Space,  422,  748
       F,  689,  120
       I,  382,   64
       R,  807,   62
       S,  301,   49
       T,   90,   78
   Space,   90,  788
       T,  862,   73
       W,  566,   80
       O,  183,   61
   Space,  183,   65
       P,  321,   87
       E,   72,  101
       O,  111,   59
       P,  404,   49
       L,  246,   47
       E,  529,   94
   Space,  529,  260
       O,  836,   80
       N,  347,   72
   Space,  347,  518
       T,   77,   72
       H,  262,   67
       E,  347,   75
   Space,  347,  519
  LShift,  275,  355
       M,  537,   51
       O,  535,   59
       O,  222,   54
       N,  643,  116
   Space,  643,  436
  LShift,  982,  295
       A,  412,   81
       R,  685,   59
       M,  640,   58
       S,    4,   68
       T,  365,   69
       R,  257,   77
       O,  308,   70
       N,  312,   77
       G,  586,  121
   Space,  586,  226
       B,  492,   64
       E,  336,  106
       C,  727,   72
       A,  297,   68
       M,  240,   46
       E,  230,   67
   Space,  230,  521
       T,  853,   81
       H,  377,   56
       E,  329,  100
   Space,  329,   24
       F,   87,  103
       I,   35,   80
       R,  398,   67
       S,  249,   72
       T,  444,   72
   Space,  444,   24
       P,  124,   73
       E,  457,   95
       R,  251,  107
       S,  931,   65
       O,  442,   62
       N,  401,   63
   Space,  401,  101
       T,   42,   76
       O,  547,   65
   Space,  547,  996
       S,  603,  116
       T,  268,   95
       E,  295,  103
       P,  568,   67
   Space,  568,   93
       O,  838,   85
       N,  331,   68
       T,  900,   66
       O,  584,   61
   Space,  584,  176
       T,  974,   81
       H,  302,   69
       E,  511,  104
   Space,  511,  648
       L,  328,   51
       U,  379,   66
       N,  466,   54
       A,  366,  126
       R,  505,   99
   Space,  505,  165
       S,  490,   98
       U,  830,   79
       R,  492,   64
       F,  483,   57
       A,  319,   82
       C,  433,   62
       E,  361,   95
   Space,  361,  928
       S,  788,   96
       I,  397,   80
       X,  485,   85
   Space,  485,  248
       H,   36,   67
       O,  204,   78
       U,  987,   54
       R,  603,   73
       S,  528,  103
   Space,  528,  607
       A,  900,  108
       F,  752,   86
       T,  379,   72
       E,  433,   88
       R,  451,  111
   Space,  451,  882
       L,  286,   95
       A,  436,   61
       N,  461,   90
       D,  703,   94
       I,  825,   64
       N,   89,  127
       G,  592,   72
   Space,  592,   59
       O,  659,   72
       N,  399,   59
   Space,  399,   64
  LShift,  206,  765
       J,  219,   61
       U,  468,  103
       L,  771,   54
       Y,  604,   97
   Space,  604,  166
       2,  666,  103
       1,  432,   86
   Space,  432,  252
  LShift,  366,  484
       A,  101,   80
       L,  731,   83
       D,  890,  153
       R,  632,   66
       I,  693,   56
       N,  312,  125
   Space,  312,  862
       J,  606,  138
       O,  603,  116
       I,  406,   78
       N,  370,  125
       E,  740,   96
       D,  160,   91
   Space,  160,   93
       H,  278,   62
       I,  566,   48
       M,  458,   68
   Space,  458,  958
       2,  344,  138
       0,  215,  124
   Space,  215,  852
       M,  578,   55
       I,  397,   59
       N,  391,   52
       U,  732,  106
       T,  662,   77
       E,  378,   94
       S,  509,   54
   Space,  509,  896
       L,  692,   78
       A,  291,   88
       T,  861,   76
       E,  324,  108
       R,  447,   91
