  LShift,    0,  942
       A,    0,  137
       P,  103,   61
       O,  386,   56
       L,  246,   54
       L,  176,   62
       O,  662,   61
   Space,  662,  857
       1,  394,   62
       1,  184,   59
   Space,  184,  585
       W,  899,   64
       A,  197,   67
       S,  212,   54
   Space,  212,  319
       T,  437,   60
       H,   71,   67
       E,  394,   71
   Space,  394,  467
       S,  809,   54
       P,  312,   54
       A,  204,   54
       C,  514,   59
       E,  804,   77
       F,  256,   51
       L,  255,   67
       I,  243,   64
       G,  193,   52
       H,  480,   58
       T,  436,   72
   Space,  436,  277
       T,  752,   62
       H,   48,   62
       A,  154,   67
       T,  762,   51
   Space,  762,   62
       L,  392,   64
       A,  237,   49
       N,  475,   61
       D,  362,   75
       E,  500,   69
       D,  468,   60
   Space,  468,  953
       T,  703,   55
       H,  661,   57
       E,  399,   77
   Space,  399,  784
       F,  465,   70
       I,  252,   56
       R,  853,   44
       S,  210,   62
       T,  255,   43
   Space,  255,  884
       T,   74,   48
       W,  399,   65
       O,  254,   63
   Space,  254,  285
       P,  450,   64
       E,  539,   56
       O,  224,   59
       P,  167,   59
       L,  165,   72
       E,  449,   51
   Space,  449,  855
       O,   53,   63
       N,  404,   60
   Space,  404,  317
       T,  100,   62
       H,  819,   59
       E,  252,   67
   Space,  252,  918
  LShift,   56,   69
       M,  769,   52
       O,  846,   57
       O,  186,   49
       N,  923,   56
   Space,  923,  264
  LShift,  904,   54
       A,  325,   49
       R,  641,   54
       M,  342,   47
       S,   43,   63
       T,  835,   46
       R,  166,   54
       O,  238,   61
       N,  438,   55
       G,  578,   72
   Space,  578,  701
       B,   19,   70
       E,  241,   62
       C,  316,   52
       A,  213,   57
       M,  295,   61
       E,  231,   59
   Space,  231,  140
       T,  120,   49
       H,  842,   62
       E,  272,   53
   Space,  272,  728
       F,  100,   54
       I,  438,   44
       R,  348,   49
       S,  244,   61
       T,  414,   62
   Space,  414,  864
       P,   48,   65
       E,  325,   59
       R,  184,   54
       S,  622,   51
       O,  327,   49
       N,  399,   51
   Space,  399,   18
       T,  296,   59
       O,  245,   57
   Space,  245,   22
       S,  606,   49
       T,  306,   51
       E,  620,   56
       P,  541,   52
   Space,  541,  510
       O,  496,   54
       N,  474,   55
       T,  329,   50
       O,  678,   49
   Space,  678,  488
       T,  443,   62
       H,  220,   61
       E,  321,   62
   Space,  321,   88
       L,  947,   67
       U,  270,   49
       N,  347,   62
       A,  207,   57
       R,  348,   57
   Space,  348,  483
       S,  718,   53
       U,  312,   53
       R,  312,   61
       F,  271,   49
       A,  275,   56
       C,  282,   63
       E,  208,   51
   Space,  208,  830
       S,  154,   49
       I,  236,   50
       X,  514,   59
   Space,  514,  568
       H,  632,   56
       O,  246,   49
       U,  627,   47
       R,  735,   49
       S,  555,   62
   Space,  555,  688
       A,  916,   56
       F,  723,   72
       T,  218,   59
       E,  246,   54
       R,  186,   57
   Space,  186,  103
       L,    1,   55
       A,  220,   63
       N,  631,   44
       D,  321,   41
       I,  249,   46
       N,  290,   52
       G,  602,   44
   Space,  602,  694
       O,  924,   62
       N,  320,   49
   Space,  320,  292
  LShift,  646,   49
       J,  666,   47
       U,  880,   49
       L,  316,   68
       Y,  527,   49
   Space,  527,  916
       2,  261,   45
       1,  174,   61
   Space,  174,  996
  LShift,  930,   62
       A,  475,   72
       L,  714,   58
       D,  306,   64
       R,  225,   62
       I,  366,   54
       N,  469,   62
   Space,  469,  395
       J,  246,   57
       O,  425,   67
       I,  916,   51
       N,  332,   56
       E,  123,   58
       D,  217,   62
   Space,  217,  912
       H,  861,   62
       I,  215,   61
       M,  441,   57
   Space,  441,  474
       2,  105,   57
       0,  358,   57
   Space,  358,  751
       M,   57,   69
       I,  246,   62
       N,  225,   66
       U,  223,   55
       T,  636,   55
       E,  202,   68
       S,  470,   56
   Space,  470,  703
       L,  694,   63
       A,  190,   53
       T,  462,   46
       E,  209,   62
       R,  216,   49
