  RShift,    0,  704
       A,    0,  720
       P,  956,  106
       O,  259,  106
       L,  390,  103
       L,  190,   65
       O,  247,   71
   Space,  247,  609
       1,  788,  115
       1,  188,   47
   Space,  188,  446
       W,  296,   80
       A,  136,   89
       S,  145,   99
   Space,  145,  765
       T,  224,   73
       H,  324,  111
       E,  214,   85
   Space,  214,  384
       S,  975,  124
       P,  241,   81
       A,  235,   88
       C,  334,  103
       E,  308,  103
       F,  489,  106
       L,  187,   97
       I,  311,   99
       G,  441,   96
       H,  275,   82
       T,  364,  108
   Space,  364,  748
       T,  976,  113
       H,  376,   89
       A,  435,   77
       T,  139,  110
   Space,  139,  390
       L,  945,   85
       A,  239,   95
       N,  191,  108
       D,  363,   90
       E,  253,  109
       D,  272,   96
   Space,  272,  553
       T,  206,   87
       H,  368,   82
       E,  174,  121
   Space,  174,  240
       F,  166,  109
       I,  214,  107
       R,  499,  103
       S,  310,   93
       T,  197,  140
   Space,  197,  569
       T,  915,   90
       W,  308,   83
       O,  216,   56
   Space,  216,  329
       P,  713,   72
       E,  243,   82
       O,  811,   98
       P,  546,   86
       L,  242,   72
       E,  232,  113
   Space,  232,  549
       O,  991,   77
       N,  318,   59
   Space,  318,  256
       T,  516,   72
       H,  671,   67
       E,  260,   85
   Space,  260,  260
  RShift,  777,  569
       M,  357,  106
       O,  505,  118
       O,  236,   69
       N,  476,  100
   Space,  476,  402
  RShift,  631,  311
       A,  186,   96
       R,  469,  105
       M,  398,  127
       S,  404,   94
       T,  581,  109
       R,  547,  114
       O,  383,  117
       N,  373,  120
       G,  376,  103
   Space,  376,  538
       B,  241,  134
       E,  541,  112
       C,  501,   96
       A,  204,  100
       M,  365,   82
       E,  267,  121
   Space,  267,  729
       T,   19,  125
       H,  293,  114
       E,  161,   88
   Space,  161,  271
       F,  764,  113
       I,  173,  119
       R,  713,  107
       S,  780,  117
       T,  283,  100
   Space,  283,  386
       P,  493,   87
       E,  192,  124
       R,  275,   90
       S,  407,   66
       O,  150,   85
       N,  396,   82
   Space,  396,  306
       T,  905,   81
       O,  187,  100
   Space,  187,  283
       S,  542,  103
       T,  160,   95
       E,  217,   78
       P,  313,   69
   Space,  313,  812
       O,  170,   82
       N,  430,   77
       T,  418,   94
       O,  173,   78
   Space,  173,  126
       T,  565,  121
       H,  373,  103
       E,  272,  103
   Space,  272,  436
       L,  944,   92
       U,  370,   85
       N,  298,   90
       A,  264,   97
       R,  237,   98
   Space,  237,  832
       S,    7,  118
       U,  742,   98
       R,  513,   96
       F,  277,  103
       A,  261,  112
       C,  242,  118
       E,  315,   71
   Space,  315,  477
       S,  978,  107
       I,  298,  114
       X,  486,   95
   Space,  486,  501
       H,  162,  115
       O,  793,  145
       U,  125,  111
       R,  440,   86
       S,  236,  109
   Space,  236,   64
       A,  422,   93
       F,  209,  112
       T,  255,   90
       E,  173,  104
       R,  160,  101
   Space,  160,  861
       L,  915,  103
       A,  282,   98
       N,  220,   82
       D,  461,  100
       I,  183,  130
       N,  763,  101
       G,  385,  143
   Space,  385,  576
       O,    7,   80
       N,  283,   62
   Space,  283,  251
  RShift,  139,  392
       J,   27,   97
       U,  410,   86
       L,  402,   72
       Y,  489,   86
   Space,  489,  986
       2,  265,   90
       1,  350,  114
   Space,  350,  415
  RShift,  102,  400
       A,  181,  107
       L,  419,  104
       D,  945,  109
       R,  329,   85
       I,  175,  106
       N,  449,  122
   Space,  449,  558
       J,  797,   72
       O,  321,   83
       I,  216,   70
       N,  288,  103
       E,  224,  119
       D,  444,  121
   Space,  444,  293
       H,  518,  101
       I,  426,   69
       M,   62,  100
   Space,   62,  923
       2,  751,  114
       0,  158,   95
   Space,  158,  547
       M,  852,   96
       I,  297,  118
       N,  125,   93
       U,  337,   77
       T,  524,   85
       E,  237,  103
       S,  342,   95
   Space,  342,  433
       L,  855,   81
       A,  215,  103
       T,  292,   81
       E,  140,   88
       R,  136,   68
