  LShift,    0,  571
       A,  568,  111
       P,  448,   93
       O,  115,  121
       L,  730,   82
       L,  331,   75
       O,  277,   80
   Space,  277,  329
       1,   13,   78
       1,  291,  101
   Space,  291,  456
       W,  415,   98
       A,  276,   70
       S,  272,   93
   Space,  272,  944
       T,  330,   90
       H,  647,   94
       E,  477,  111
   Space,  477,  723
       S,  135,  135
       P,  691,   93
       A,  295,  117
       C,  812,  121
       E,  151,  124
       F,  495,  113
       L,  570,  109
       I,  688,   91
       G,  377,   99
       H,  215,  100
       T,  319,   92
   Space,  319,  897
       T,  133,  136
       H,  380,  103
       A,  606,  130
       T,  379,   82
   Space,  379,  749
       L,  713,  110
       A,  114,  126
       N,  616,  118
       D,  253,  100
       E,  259,   73
       D,  293,   86
   Space,  293,  925
       T,  680,   93
       H,   20,  108
       E,  516,   98
   Space,  516,  481
       F,   41,  118
       I,  896,   98
       R,  735,  106
       S,  558,   86
       T,  103,   78
   Space,  103,  635
       T,  627,   93
       W,  433,   80
       O,  739,  101
   Space,  739,  595
       P,  524,  108
       E,  438,  113
       O,  939,   94
       P,  296,   85
       L,  402,   93
       E,  612,   93
   Space,  612,  680
       O,  718,  103
       N,  388,   93
   Space,  388,  352
       T,   57,   88
       H,  653,   89
       E,  573,  100
   Space,  573,  672
  LShift,  698,  418
       M,  228,  114
       O,  995,  124
       O,  709,   95
       N,  941,   93
   Space,  941,  461
  LShift,  261,  643
       A,  718,  107
       R,  735,  111
       M,  544,  103
       S,  857,  125
       T,  494,   89
       R,  472,   66
       O,  523,   90
       N,  396,   98
       G,  682,   96
   Space,  682,  487
       B,  920,  113
       E,  164,  104
       C,  387,  104
       A,  833,  131
       M,  539,  103
       E,    5,  129
   Space,    5,  422
       T,  587,   90
       H,  378,   82
       E,   45,   88
   Space,   45,  728
       F,  180,   80
       I,  522,   93
       R,  154,  103
       S,  975,   86
       T,  466,   76
   Space,  466,  434
       P,  588,   99
       E,  632,   91
       R,  112,  108
       S,  702,   86
       O,  746,  109
       N,  521,  103
   Space,  521,  484
       T,  684,  103
       O,  568,   95
   Space,  568,  609
       S,  557,   89
       T,  446,   83
       E,  542,   82
       P,   55,  109
   Space,   55,  684
       O,  514,  106
       N,  434,  126
       T,  226,   85
       O,  845,  116
   Space,  845,  836
       T,  638,   93
       H,  684,   82
       E,  458,   87
   Space,  458,  542
       L,  862,  118
       U,  229,   92
       N,   55,  106
       A,  562,   75
       R,  141,  117
   Space,  141,  677
       S,  687,   81
       U,  806,  116
       R,  937,   92
       F,  330,   93
       A,  682,   92
       C,   51,  100
       E,  576,   72
   Space,  576,  664
       S,  959,   90
       I,  788,   85
       X,  497,   85
   Space,  497,  438
       H,  525,  121
       O,  171,  101
       U,  550,  108
       R,  982,  100
       S,  386,   87
   Space,  386,  957
       A,  424,   89
       F,  464,   73
       T,  923,   72
       E,   79,   85
       R,  368,   87
   Space,  368,  353
       L,  552,  114
       A,   97,   82
       N,  656,   98
       D,  934,   95
       I,  752,   96
       N,  125,  104
       G,   78,   93
   Space,   78,  521
       O,  205,   98
       N,  782,  104
   Space,  782,  423
  LShift,  338,  398
       J,  174,   90
       U,  675,   91
       L,  645,   94
       Y,  145,   87
   Space,  145,  960
       2,  235,   75
       1,  342,   95
   Space,  342,  731
  LShift,  227,  381
       A,  270,   99
       L,  423,  111
       D,   61,  104
       R,  308,   80
       I,  637,  109
       N,  151,   99
   Space,  151,  425
       J,  629,   99
       O,  240,   90
       I,  833,  107
       N,  968,  134
       E,  529,   80
       D,  266,   70
   Space,  266,  558
       H,  780,   90
       I,  449,   93
       M,  429,  104
   Space,  429,  480
       2,  809,   87
       0,  795,  103
   Space,  795,   18
       M,  893,  103
       I,  575,  111
       N,  491,  117
       U,  393,  108
       T,  121,   87
       E,  463,   90
       S,  341,   82
   Space,  341,  663
       L,  432,  113
       A,  445,  106
       T,  846,  113
       E,  490,   81
       R,  241,   95
