  LShift,    0,  700
       A,    0,   61
       P,  674,   67
       O,  181,   62
       L,  430,   73
       L,  156,   91
       O,  301,  113
   Space,  301,  964
       1,   23,   88
       1,  217,  107
   Space,  217,  519
       W,  801,  103
       A,  311,  163
       S,  362,  132
   Space,  362,  433
       T,  736,   76
       H,  460,  149
       E,  408,  130
   Space,  408,  466
       S,  829,  128
       P,  228,   93
       A,  132,   88
       C,  313,  101
       E,  674,  144
       F,  478,   97
       L,  333,   72
       I,  254,   69
       G,  448,   72
       H,  420,   86
       T,  786,  118
   Space,  786,  609
       T,   47,   69
       H,  174,  142
       A,  199,  123
       T,  672,   98
   Space,  672,  561
       L,   10,  156
       A,  234,  106
       N,  282,  103
       D,  373,   92
       E,  301,  135
       D,  715,  117
   Space,  715,  399
       T,  736,   75
       H,  861,  147
       E,  213,  127
   Space,  213,  516
       F,  323,  103
       I,  250,   90
       R,  311,   86
       S,  384,  117
       T,  483,  163
   Space,  483,  813
       T,   97,   72
       W,  532,  121
       O,  968,  101
   Space,  968,  413
       P,  381,  136
       E,  264,   75
       O,  267,   49
       P,  173,   76
       L,  321,  175
       E,  659,  103
   Space,  659,   21
       O,  283,   72
       N,  915,   66
   Space,  915,  285
       T,  634,   46
       H,  306,   90
       E,  217,   80
   Space,  217,  281
  LShift,   31,  207
       M,    9,   56
       O,  305,   62
       O,  142,   76
       N,  729,   64
   Space,  729,  276
  LShift,  106,  575
       A,  241,   85
       R,  850,   43
       M,  714,   55
       S,  363,   79
       T,  380,   67
       R,  186,   75
       O,  231,   69
       N,  251,   67
       G,  244,   77
   Space,  244,  375
       B,  617,   74
       E,  115,   36
       C,  366,   50
       A,  241,   72
       M,  341,   98
       E,  139,   89
   Space,  139,  459
       T,  788,   60
       H,  750,   90
       E,  150,   85
   Space,  150,  326
       F,  933,   77
       I,  213,   67
       R,  358,   54
       S,  448,  100
       T,  922,   62
   Space,  922,  539
       P,  719,   80
       E,  210,   80
       R,  197,   68
       S,  321,   80
       O,  225,   59
       N,  308,  135
   Space,  308,  781
       T,  436,   96
       O,  272,   98
   Space,  272,  467
       S,  772,  114
       T,  226,   74
       E,  157,   83
       P,   24,  113
   Space,   24,  674
       O,  161,   72
       N,  540,   78
       T,  240,  108
       O,  204,   91
   Space,  204,  369
       T,  591,   68
       H,  307,  147
       E,  204,   98
   Space,  204,  595
       L,  284,   73
       U,  481,   72
       N,  896,  110
       A,  151,  114
       R,  188,   95
   Space,  188,  260
       S,   67,  135
       U,  213,   82
       R,  295,   54
       F,  210,   79
       A,  126,   87
       C,  283,   85
       E,  285,  118
   Space,  285,  376
       S,  245,  126
       I,  199,   59
       X,  796,  106
   Space,  796,  469
       H,  988,   79
       O,  315,   61
       U,  300,   62
       R,  462,   73
       S,  405,   85
   Space,  405,  672
       A,  809,  106
       F,  382,   64
       T,  469,   85
       E,  108,   78
       R,  241,   53
   Space,  241,  597
       L,  890,   72
       A,  148,   90
       N,  245,   69
       D,  691,  122
       I,  269,  109
       N,  537,   79
       G,  463,  120
   Space,  463,  895
       O,  130,   82
       N,  248,   70
   Space,  248,  235
  LShift,  386,  259
       J,  536,   74
       U,  815,   48
       L,  632,   82
       Y,  969,   68
   Space,  969,  415
       2,  495,   70
       1,  196,  103
   Space,  196,  684
  LShift,  847,  244
       A,   12,   45
       L,  494,   54
       D,  386,   87
       R,  293,   88
       I,  232,   59
       N,  267,   85
   Space,  267,  607
       J,  380,   59
       O,  434,   76
       I,  208,   60
       N,  311,   72
       E,  335,   77
       D,  425,  139
   Space,  425,  110
       H,  736,  100
       I,  354,   62
       M,  656,  117
   Space,  656,  391
       2,  778,  113
       0,  426,  171
   Space,  426,  877
       M,  365,   68
       I,  243,   63
       N,  239,   66
       U,  212,   64
       T,  382,   84
       E,  231,   72
       S,  231,  132
   Space,  231,  433
       L,  734,   77
       A,  145,  107
       T,  238,   65
       E,  148,   91
       R,  218,   72
