  LShift,    0,  804
       A,    0,  816
       P,   37,   86
       O,  194,   62
       L,  234,   57
       L,  132,   59
       O,  639,   80
   Space,  639,  541
       1,  729,   69
       1,  167,   73
   Space,  167,  307
       W,  605,   70
       A,  141,   64
       S,   97,   59
   Space,   97,  859
       T,  180,   63
       H,  216,   77
       E,  103,   68
   Space,  103,  189
       S,  331,   83
       P,  449,   62
       A,  184,  117
       C,  228,   62
       E,  576,   64
       F,  674,   62
       L,  462,   77
       I,  207,   65
       G,  262,   76
       H,  205,   62
       T,  363,   75
   Space,  363,  377
       T,  706,   65
       H,  187,   85
       A,  140,   87
       T,  107,   66
   Space,  107,  230
       L,  656,   75
       A,  215,   98
       N,  111,   67
       D,  335,   81
       E,  178,   63
       D,  228,   62
   Space,  228,  316
       T,  540,   69
       H,  225,   77
       E,  134,   89
   Space,  134,  176
       F,  394,   93
       I,  178,   59
       R,  163,   73
       S,  379,   66
       T,  982,   59
   Space,  982,  605
       T,  807,   61
       W,  352,   59
       O,  137,   60
   Space,  137,  715
       P,  108,   57
       E,  295,   54
       O,  108,   62
       P,  158,   60
       L,  184,   50
       E,  470,   64
   Space,  470,  215
       O,  525,   77
       N,  224,   70
   Space,  224,  244
       T,  420,   72
       H,  203,   67
       E,  117,   59
   Space,  117,  173
       M,  661,   76
  LShift,  866,  290
       O,  243,   58
       O,  151,   62
       N,  667,   80
   Space,  667,  349
  LShift,  757,  320
       A,  698,  115
       R,  299,   52
       M,  439,   69
       S,  239,   62
       T,  169,   56
       R,  256,   63
       O,  226,   54
       N,  296,   66
       G,  521,   74
   Space,  521,  477
       B,  728,   75
       E,  145,  124
       C,  238,  116
       A,  261,  142
       M,  210,   65
       E,  384,   72
   Space,  384,  295
       T,  523,   62
       H,  218,   65
       E,  141,   77
   Space,  141,  183
       F,  370,   86
       I,  135,   54
       R,  158,   67
       S,  316,   83
       T,  160,   67
   Space,  160,  257
       P,  692,   60
       E,  377,   76
       R,  202,   51
       S,  313,   73
       O,  127,   48
       N,  820,  111
   Space,  820,  370
       T,  599,   82
       O,  216,   67
   Space,  216,  483
       S,  410,   72
       T,  130,   49
       E,  319,   59
       P,  236,   51
   Space,  236,  642
       O,   32,   67
       N,  202,   64
       T,  729,   70
       O,  149,   56
   Space,  149,  378
       T,  619,   70
       H,  195,   76
       E,  155,   67
   Space,  155,  186
       L,  607,   72
       U,  326,   77
       N,  182,   64
       A,  934,   87
       R,  121,   62
   Space,  121,  467
       S,  766,   72
       U,  113,   54
       R,  638,   67
       F,  194,   72
       A,  138,  121
       C,  138,  167
       E,  336,  107
   Space,  336,  789
       S,  349,   73
       I,  135,   51
       X,  407,   72
   Space,  407,  216
       H,  361,   51
       O,  355,   62
       U,  267,   53
       R,  311,   54
       S,  165,   58
   Space,  165,  717
       A,  204,   81
       F,  197,   68
       T,  213,   57
       E,  181,   61
       R,   77,   67
   Space,   77,  256
       L,  684,   70
       A,  212,   95
       N,  347,   72
       D,  544,   72
       I,  197,   59
       N,  316,   62
       G,  452,   72
   Space,  452,  469
       O,   29,   80
       N,  225,   78
   Space,  225,  270
  LShift,  253,  316
       J,  663,   62
       U,  207,   50
       L,  406,   46
       Y,  393,   57
   Space,  393,  706
       2,  906,   80
       1,  241,   64
   Space,  241,  576
  LShift,  919,  342
       A,  809,   88
       L,  378,   55
       D,  244,   72
       R,  207,   72
       I,  165,   54
       N,  251,   65
   Space,  251,  462
       J,  726,   67
       O,  282,   62
       I,  179,   56
       N,  181,   58
       E,  210,   91
       D,  221,   77
   Space,  221,  459
       H,  941,   60
       I,  308,   62
       M,  242,   69
   Space,  242,  362
       2,  847,   72
       0,  124,   54
   Space,  124,  353
       M,  496,   74
       I,  186,   56
       N,  140,   96
       U,  158,   56
       T,  251,   49
       E,  111,   72
       S,  241,   72
   Space,  241,  178
       L,  564,   55
       A,  181,  106
       T,  212,   55
       E,  174,   54
       R,  348,   48
