  LShift,    0,  706
       A,    0,  660
       P,  488,   62
       O,  264,   54
       L,  909,   56
       L,  160,   52
       O,  218,   51
   Space,  218,  297
       1,  504,  129
       1,  403,  131
   Space,  403,  257
       W,  178,   67
       A,  231,  136
       S,  177,  106
   Space,  177,  701
       T,  124,   59
       H,  515,   52
       E,  634,  166
   Space,  634,  905
       S,  563,  176
       P,  157,   72
       A,  600,  146
       C,  599,   64
       E,  790,  127
       F,  157,   59
       L,  614,   62
       I,  472,   64
       G,  492,   54
       H,  690,   62
       T,  705,   53
   Space,  705,  540
       T,  329,   62
       H,  515,   58
       A,  353,  135
       T,  379,   64
   Space,  379,  648
       L,  391,   67
       A,  404,  135
       N,  100,   49
       D,  596,   57
       E,  277,  106
       D,  303,  102
   Space,  303,  496
       T,  800,   46
       H,  539,   49
       E,  399,  109
   Space,  399,  427
       F,  517,   55
       I,  994,   69
       R,  907,  124
       S,  355,  142
       T,  300,   62
   Space,  300,  957
       T,  467,   57
       W,  370,  125
       O,  315,   59
   Space,  315,  621
       P,  496,   67
       E,  872,   54
       O,  176,   59
       P,  217,   67
       L,  160,   59
       E,  402,  123
   Space,  402,  442
       O,  417,   67
       N,  446,   56
   Space,  446,  322
       T,  847,   67
       H,  530,   49
       E,  391,  123
   Space,  391,  582
  LShift,  187,  321
       M,  219,   54
       O,   98,   64
       O,  175,   63
       N,  241,   73
   Space,  241,  402
  LShift,   36,  285
       A,  481,   59
       R,  174,   61
       M,   50,   59
       S,  195,  139
       T,  578,   77
       R,   42,   58
       O,  767,   62
       N,  410,   62
       G,  477,   57
   Space,  477,  627
       B,  811,   67
       E,  240,  119
       C,  222,   59
       A,  401,  114
       M,    6,   62
       E,  473,  108
   Space,  473,  471
       T,    7,   53
       H,  655,   51
       E,  479,  135
   Space,  479,  616
       F,  804,   72
       I,   36,   62
       R,  676,  103
       S,  465,  193
       T,  302,   67
   Space,  302,  709
       P,  423,   52
       E,  573,  119
       R,  334,   85
       S,   95,  121
       O,  411,   54
       N,  431,   59
   Space,  431,  311
       T,  198,  116
       O,  321,   54
   Space,  321,  435
       S,  178,  131
       T,  357,   41
       E,  379,   97
       P,   55,   59
   Space,   55,  415
       O,  989,   52
       N,  489,   56
       T,  983,   64
       O,  736,   49
   Space,  736,  373
       T,  711,   53
       H,  668,   49
       E,  890,  136
   Space,  890,  508
       L,  806,   54
       U,   59,   53
       N,    0,   59
       A,  246,  135
       R,  310,   52
   Space,  310,  425
       S,  387,  154
       U,  524,   49
       R,  501,   47
       F,  416,   49
       A,  304,  104
       C,  633,   47
       E,  371,  104
   Space,  371,  331
       S,  417,  118
       I,  316,   54
       X,  466,  114
   Space,  466,  322
       H,  708,   41
       O,  384,   62
       U,  213,   54
       R,  418,   54
       S,  256,   54
   Space,  256,  740
       A,  378,  157
       F,  662,   54
       T,  265,   49
       E,   43,  127
       R,  724,   54
   Space,  724,  513
       L,  260,   70
       A,  454,   96
       N,   64,  121
       D,  481,   72
       I,  617,   64
       N,  443,   53
       G,  926,   62
   Space,  926,  708
       O,  318,   61
       N,  413,   45
   Space,  413,  365
  LShift,  601,  721
       J,  727,   56
       U,  173,   45
       L,  534,   57
       Y,  514,   41
   Space,  514,  481
       2,  409,  117
       1,  249,  145
   Space,  249,  568
  LShift,  629,  270
       A,  301,   62
       L,  425,   61
       D,  531,   49
       R,  428,   53
       I,  352,   63
       N,  420,   67
   Space,  420,  330
       J,  259,   65
       O,  384,   63
       I,  970,   64
       N,  942,   54
       E,  531,  127
       D,  667,   46
   Space,  667,  488
       H,  171,   56
       I,  565,   61
       M,  926,   63
   Space,  926,  331
       2,  965,  143
       0,  397,   62
   Space,  397,  463
       M,   38,   58
       I,  298,   55
       N,  879,   62
       U,  681,   49
       T,  592,   58
       E,  748,   77
       S,  354,  125
   Space,  354,  421
       L,   56,   57
       A,  330,  126
       T,  389,   54
       E,  438,  121
       R,  399,  140
