  RShift,    0,  863
       A,    0,  941
       P,  341,   63
       O,  249,   56
       L,  539,   64
       L,  246,   56
       O,  243,   72
   Space,  243,  565
       1,   36,  128
       1,  283,  103
   Space,  283,  277
       W,  565,   72
       A,  306,   87
       S,  173,   87
   Space,  173,  696
       T,  761,   76
       H,  197,   72
       E,  485,   62
   Space,  485,  559
       S,  914,   77
       P,  135,   77
       A,  219,   86
       C,  340,   73
       E,  688,   82
       F,  898,   77
       L,  191,   81
       I,  311,   96
       G,  377,   84
       G,  692,   62
       T,  697,   68
   Space,  697,  720
       T,  217,   86
       H,  522,   62
       A,  197,   77
       T,  568,   64
   Space,  568,  536
       L,  859,   89
       A,  789,  109
       N,  247,   69
       D,  339,   72
       E,  249,   77
       D,  949,  112
   Space,  949,  968
       T,  341,   71
       H,  460,   77
       E,  560,   67
   Space,  560,  771
       F,  766,  127
       I,  200,   69
       R,  824,   62
       S,  257,   72
       T,  493,   62
   Space,  493,  887
       T,  759,   68
       W,  384,   59
       O,  199,   69
   Space,  199,  297
       P,  855,   57
       E,  478,   85
       O,  269,   72
       P,  216,   66
       L,  221,   76
       E,  408,   59
   Space,  408,  256
       O,  619,   66
       N,  513,   64
   Space,  513,  834
       T,  950,   49
       H,  544,   71
       E,  287,   66
   Space,  287,  231
       M,  159,  103
  RShift,  263,  505
       O,  976,   62
       O,  166,   61
       N,  923,   68
   Space,  923,  853
  RShift,  854,  537
       A,  908,   85
       R,  524,   95
       M,  404,   87
       S,  572,  114
       T,  829,   63
       R,  272,   64
       O,  278,   63
       N,  453,   67
       G,  888,   93
   Space,  888,  778
       B,  342,   58
       E,  194,   80
       C,  286,   77
       A,  243,  100
       M,  522,   90
       E,  968,   80
   Space,  968,  947
       T,  555,   80
       H,  533,   58
       E,  283,   69
   Space,  283,  288
       F,  996,   90
       I,  184,   72
       R,    7,   76
       S,  578,   74
       T,  191,   60
   Space,  191,  534
       P,  322,   58
       E,  252,   72
       R,  236,   75
       S,  493,   78
       O,  441,   57
       N,  716,  107
   Space,  716,  916
       T,  786,   62
       O,  604,   81
   Space,  604,  891
       S,   57,   72
       T,  322,   77
       E,  324,   72
       P,  953,   77
   Space,  953,  798
       O,  733,   62
       N,  426,   67
       T,  412,   75
       O,  326,   68
   Space,  326,  379
       T,  805,   57
       H,  638,   58
       E,  275,   54
   Space,  275,  612
       L,  793,   54
       U,  450,   50
       N,  574,   64
       A,  201,   65
       R,  293,   87
   Space,  293,  160
       S,  749,   89
       U,  254,   67
       R,  974,   67
       F,  678,  121
       A,  219,   90
       C,  574,   56
       E,  462,   51
   Space,  462,  194
       S,  927,   67
       I,  181,   67
       X,  933,   99
   Space,  933,  490
       H,  599,   83
       O,  345,   72
       U,  519,   59
       R,  377,   80
       S,  523,   89
   Space,  523,    8
       A,  904,   86
       F,  363,   63
       T,  573,   67
       E,  211,   75
       R,  355,   78
   Space,  355,    5
       L,  256,   73
       A,  215,   79
       N,  256,   62
       D,  457,   75
       I,  217,   58
       N,  402,   66
       G,  771,   68
   Space,  771,  698
       O,  142,   68
       N,  649,  104
   Space,  649,   42
       J,  965,  126
  RShift,   66,  188
       U,    1,   46
       L,  370,   62
       Y,  841,   95
   Space,  841,  542
       2,   30,   80
       1,  516,   96
   Space,  516,  156
  RShift,  148,  358
       A,  645,   86
       L,  571,   82
       D,  353,   59
       R,  275,   74
       I,  240,   62
       N,    2,  108
   Space,    2,  523
       J,  651,   72
       O,  253,   58
       I,  353,   54
       N,  438,   69
       E,  249,   74
       D,  260,  107
   Space,  260,   36
       H,  897,   79
       I,  620,   77
       M,  434,   91
   Space,  434,  471
       2,   16,   85
       0,  593,   86
   Space,  593,  267
       M,  409,   59
       I,  314,   41
       N,  462,   61
       U,  461,   49
       T,  319,   49
       E,  293,   77
       S,  545,   77
   Space,  545,  762
       L,  130,   63
       A,  231,   76
       T,  426,   59
       E,  282,   87
       R,  523,   65
